id,timestamp,film_title_en,film_title_romanji,film_title_original,year_released,director,production_studio,production_studio_gps,prefecture,film_location,latitude,longitude,researcher_source,release_date,country_of_production,topographical_targets,animated,budget,,,
6305,,,Hik? sh?jo,????,1963,,,,?????,???????,36.589647,136.674917,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6306,,,Hik? sh?jo,????,1963,,,,?????,???,36.5621278,136.6626515,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6307,,,Hik? sh?jo,????,1963,,,,?????,???,43.064133,141.3633601,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6308,,,Hik? sh?jo,????,1963,,,,?????,????,36.8432536,-76.081762,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6309,,,Hik? sh?jo,????,1963,,,,?????,??????????,36.578268,136.6480351,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6310,,,Hik? sh?jo,????,1963,,,,?????,????,35.7065502,139.7174666,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6311,,,Hik? sh?jo,????,1963,,,,?????,??,35.694136,139.743849,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6312,,,Hik? sh?jo,????,1963,,,,?????,????????,36.2316352,-119.1183105,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6313,,,Hik? sh?jo,????,1963,,,,?????,???????,36.503089,136.527515,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6314,,,Hik? sh?jo,????,1963,,,,?????,,36.594682,136.6256,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6315,,,Hik? sh?jo,????,1963,,,,?????,?????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6316,,,Hik? sh?jo,????,1963,,,,?????,???,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6317,,,Hik? sh?jo,????,1963,,,,?????,??????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6318,,,Hik? sh?nen wakamono no toride,???? ????,1970,,,,??????,???,50.2727763,127.5404017,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6319,,,Hik? sh?nen wakamono no toride,???? ????,1970,,,,??????,,35.447507,139.642345,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6320,,,Hik? sh?nen wakamono no toride,???? ????,1970,,,,??????,???,35.322808,139.5127589,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6321,,,Hik? sh?nen wakamono no toride,???? ????,1970,,,,??????,?????,35.3190012,139.5507329,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6322,,,Hik? sh?nen y? no shutsu no sakebi,???? ??????,1967,,,,?????,????),35.7377967,139.7074498,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6323,,,Hik? sh?nen y? no shutsu no sakebi,???? ??????,1967,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6324,,,Hij? tehai,????,1959,,,,?????,??????,36.8141934,139.9281249,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6325,,,Hij? tehai,????,1959,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6326,,,Hij? tehai,????,1959,,,,?????,????????),35.6953105,139.7020189,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6327,,,Hij? tehai,????,1959,,,,?????,?????,35.7123642,139.7761881,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6328,,,Hij?na j?dan,?????,1959,,,,?????,??????,35.5554531,139.7543989,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6329,,,Utsukush? anjusan,???????,1958,,,,?????,??????),35.6972422,139.7615346,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6330,,,Utsukush? anjusan,???????,1958,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6331,,,Utsukush? anjusan,???????,1958,,,,?????,???????,35.010033,138.950469,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6332,,,Utsukush?j?dai,?????,1964,,,,?????,?????,35.7107576,139.7984776,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6333,,,Utsukush?j?dai,?????,1964,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6334,,,Utsukush?j?dai,?????,1964,,,,?????,????),35.6626086,139.774611,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6335,,,Utsukush?j?dai,?????,1964,,,,?????,??????,35.7164535,139.7713177,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6336,,,Utsukush?j?dai,?????,1964,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6337,,,Utsukush?j?dai,?????,1964,,,,?????,??????,35.715378,139.773474,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6338,,,Utsukush?j?dai,?????,1964,,,,?????,??????,35.8026308,140.1639002,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6339,,,Utsukush?j?dai,?????,1964,,,,?????,??????????????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6340,,,Utsukush?j?dai,?????,1964,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6341,,,Utsukush?j?dai,?????,1964,,,,?????,?××?????????(,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6342,,,Utsukush?j?dai,?????,1964,,,,??????,???????,41.7609078,140.7143006,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6343,,,Utsukush?j?dai,?????,1964,,,,??????,???,35.2095674,139.0034626,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6344,,,Utsukush?j?dai,?????,1964,,,,??????,?????),43.161179,141.27713,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6345,,,Utsukush?j?dai,?????,1964,,,,??????,??????,35.263258,139.152734,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6346,,,Utsukush?j?dai,?????,1964,,,,??????,,35.447507,139.642345,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6347,,,Utsukush?j?dai,?????,1964,,,,??????,,35.447507,139.642345,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6348,,,Utsukush?-reki,????,1963,,,,?????,????????,35.6922285,139.4126285,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6349,,,Utsukush?-reki,????,1963,,,,??????,????,35.4666667,139.1666667,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6350,,,Utsukush?-reki,????,1963,,,,?????,????,36.238666,137.9690221,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6351,,,Utsukush?-reki,????,1963,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6352,,,Utsukush?-reki,????,1963,,,,?????,????,36.2291222,137.985175,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6353,,,Utsukush?-reki,????,1963,,,,?????,????????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6354,,,Utsukushiki teik?,?????,1960,,,,?????,??????,35.636684,139.587422,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6355,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,????,35.6792419,139.7595089,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6356,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6357,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,???),35.700332,139.754562,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6358,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,????,35.6721142,139.7708253,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6359,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,???,35.7089183,139.7742183,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6360,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6361,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,??,35.7118769,139.7966971,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6362,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,?????,34.8072826,135.3464462,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6363,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,???,37.4310279,140.4193469,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6364,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,????????,33.5822777,130.40925,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6365,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,?????????,35.6913217,139.6995582,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6366,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,???????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6367,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6368,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,??,36.0560297,138.0573584,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6369,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,????,43.0558306,143.1597925,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6370,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,??,34.3401491,134.0434436,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6371,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,??,22.2758835,114.145532,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6372,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,???,32.1199695,-110.9346199,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6373,,,Utsukushiki fury? sh?jo,???????,1958,,,,?????,???,55.7185054,52.3721038,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6374,,,Utsukushiki wakarenouta,???????,1960,,,,?????,????,35.6811673,139.7670516,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6375,,,Utsukushiki wakarenouta,???????,1960,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6376,,,Utsukushiki wakarenouta,???????,1960,,,,?????,??????),35.6718388,139.7551457,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6377,,,Utsukushiki wakarenouta,???????,1960,,,,?????,?????,35.7121974,139.726076,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6378,,,Utsukushiki wakarenouta,???????,1960,,,,?????,????,35.6884791,139.787937,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6379,,,Binan o kosh? hitokiri genzai,????? ?????,1955,,,,?????,??????,35.0590687,133.9987115,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6380,,,Binan o kosh? hitokiri genzai,????? ?????,1955,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6381,,,Binan o kosh? hitokiri genzai,????? ?????,1955,,,,?????,???,35.0231676,135.7201863,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6382,,,Binan o kosh? hitokiri genzai,????? ?????,1955,,,,?????,????,35.0090528,135.7717948,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6383,,,Binan o kosh? hitokiri genzai,????? ?????,1955,,,,?????,?????,35.019655,135.788019,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6384,,,Bitoku no yoromeki,???????,1957,,,,?????,???????,35.6811673,139.7670516,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6385,,,Bitoku no yoromeki,???????,1957,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6386,,,Bitoku no yoromeki,???????,1957,,,,?????,??????),35.6718388,139.7551457,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6387,,,Bitoku no yoromeki,???????,1957,,,,?????,??????,35.6661933,139.7583319,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6388,,,Bitoku no yoromeki,???????,1957,,,,??????,????,35.3190012,139.5507329,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6389,,,Bitoku no yoromeki,???????,1957,,,,??????,,35.447507,139.642345,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6390,,,Bitoku no yoromeki,???????,1957,,,,??????,????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6391,,,Bitoku no yoromeki,???????,1957,,,,??????,????,35.5384796,140.4572526,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6392,,,Bitoku no yoromeki,???????,1957,,,,??????,??????,33.5218951,133.762,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6393,,,Bitoku no yoromeki,???????,1957,,,,??????,???,35.3545119,139.5315996,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6394,,,Bitoku no yoromeki,???????,1957,,,,??????,??????,35.3038969,139.531515,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6395,,,Bitoku no yoromeki,???????,1957,,,,?????,,36.651299,138.180956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6396,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,???????,35.9165147,139.6298936,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6397,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,,35.856999,139.648849,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6398,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,???????,35.906626,139.630054,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6399,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,????,35.9063548,139.6230662,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6400,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,??????),35.9080646,139.6259679,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6401,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,?????,35.9734021,139.5885033,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6402,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,??????????????,36.08386,139.488631,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6403,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,??????????,35.6457986,139.9038471,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6404,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,,35.605057,140.123306,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6405,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,???????,35.4314823,133.8364905,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6406,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,?????????,36.5430466,140.6454001,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6407,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,????????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6408,,,Hyakuman'entonigamushion'na,???????,2008,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6409,,,Hyakumandoru o tataki dase,????????,1961,,,,?????,????,35.7029293,139.7555605,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6410,,,Hyakumandoru o tataki dase,????????,1961,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6411,,,Hyakumandoru o tataki dase,????????,1961,,,,?????,????),34.6694863,133.9338834,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6412,,,Hyakumandoru o tataki dase,????????,1961,,,,?????,???????,35.71256,139.795305,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6413,,,Hyakumandoru o tataki dase,????????,1961,,,,?????,??????,35.5554531,139.7543989,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6414,,,Hyakumandoru o tataki dase,????????,1961,,,,?????,?????,35.6661933,139.7583319,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6415,,,Fujimina aitsu,???????,1967,,,,??????,,31.560146,130.557978,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6416,,,Fud?toku ky?iku k?za,???????,1959,,,,?????,???????????????????),,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6417,,,Fud?toku ky?iku k?za,???????,1959,,,,?????,,36.651299,138.180956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6418,,,Fud?toku ky?iku k?za,???????,1959,,,,?????,,36.651299,138.180956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6419,,,Fud?toku ky?iku k?za,???????,1959,,,,?????,??????,35.699173,139.446376,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6420,,,Fury? sh?jo mako,???? ??,1971,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6421,,,Fury? sh?jo mako,???? ??,1971,,,,??????,?????,35.4423591,139.6463881,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6422,,,Fury? sh?jo mako,???? ??,1971,,,,?????,?????,35.4185515,138.8774803,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6423,,,F?fuhyakkei,????,1958,,,,?????,????),35.6721142,139.7708253,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6424,,,F?fuhyakkei,????,1958,,,,?????,??????,35.6973338,139.8265659,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6425,,,F?fuhyakkei,????,1958,,,,??????,??????,35.3057789,139.3153718,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6426,,,Ukigusanoyado,????,1957,,,,??????,???????,35.4505871,139.6656704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6427,,,Ukigusanoyado,????,1957,,,,??????,,35.447507,139.642345,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6428,,,Ukigusanoyado,????,1957,,,,??????,?????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6429,,,Ukigusanoyado,????,1957,,,,??????,???????,30.2791971,-97.7742666,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6430,,,Ukigusanoyado,????,1957,,,,??????,?????,34.2406273,132.5563333,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6431,,,Chichitoko no uta,?????,1965,,,,?????,?????),35.6580339,139.7016358,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6432,,,Chichitoko no uta,?????,1965,,,,?????,?????????,35.645972,139.652772,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6433,,,Chichitoko no uta,?????,1965,,,,?????,????????,35.7044388,139.7542317,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6434,,,Chichitoko no uta,?????,1965,,,,?????,?????,38.2601316,140.8824375,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6435,,,Maiko no j?ky?,?????,1961,,,,?????,????,34.9798918,135.7487063,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6436,,,Maiko no j?ky?,?????,1961,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6437,,,Maiko no j?ky?,?????,1961,,,,?????,???,40.8638482,141.378446,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6438,,,Maiko no j?ky?,?????,1961,,,,?????,????,35.0036559,135.7785534,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6439,,,Maiko no j?ky?,?????,1961,,,,?????,????,34.985849,135.7587667,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6440,,,Maiko no j?ky?,?????,1961,,,,?????,????,35.6811673,139.7670516,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6441,,,Maiko no j?ky?,?????,1961,,,,?????,????,35.694136,139.743849,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6442,,,Maiko no j?ky?,?????,1961,,,,?????,?????,35.675888,139.744858,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6443,,,Maiko no j?ky?,?????,1961,,,,?????,????),35.680226,139.7535945,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6444,,,Maiko no j?ky?,?????,1961,,,,?????,????,35.6721142,139.7708253,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6445,,,Maiko no j?ky?,?????,1961,,,,?????,???,35.7118769,139.7966971,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6446,,,Maiko no j?ky?,?????,1961,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6447,,,Maiko no j?ky?,?????,1961,,,,?????,?????,35.7140706,139.7740792,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6448,,,Maiko no j?ky?,?????,1961,,,,?????,???????,35.6585805,139.7454329,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6449,,,Maiko no j?ky?,?????,1961,,,,?????,?????????????????????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6450,,,F? ga yon deru senp?ji ginza burai j?,????????? ?????,1963,,,,?????,?????,35.5554531,139.7543989,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6451,,,F? ga yon deru senp?ji ginza burai j?,????????? ?????,1963,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6452,,,F? ga yon deru senp?ji ginza burai j?,????????? ?????,1963,,,,?????,??????),35.5856666,139.7394379,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6453,,,F? ga yon deru senp?ji ginza burai j?,????????? ?????,1963,,,,?????,???,35.6654594,139.7707838,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6454,,,F? ga yon deru senp?ji ginza burai j?,????????? ?????,1963,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6455,,,F? ga yon deru senp?ji ginza burai j?,????????? ?????,1963,,,,?????,???,35.6626086,139.774611,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6456,,,F? ga yon deru senp?ji ginza burai j?,????????? ?????,1963,,,,?????,??,35.6596964,139.7849221,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6457,,,F? ga yon deru senp?ji ginza burai j?,????????? ?????,1963,,,,?????,???,35.6721142,139.7708253,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6458,,,F? ga yon deru senp?ji ginza burai j?,????????? ?????,1963,,,,?????,???????,35.6585805,139.7454329,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6459,,,F? ga yon deru senp?ji ginza burai j?,????????? ?????,1963,,,,?????,?????,35.6938279,139.7521185,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6460,,,F? ga yon deru senp?ji ginza burai j?,????????? ?????,1963,,,,??????,?????,35.4959232,139.6897811,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6461,,,F? ga yon deru senp?ji ginza burai j?,????????? ?????,1963,,,,?????,?????,35.0261044,139.847256,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6462,,,F? to ki to sora to,??????,1964,,,,?????,????,35.7123642,139.7761881,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6463,,,F? to ki to sora to,??????,1964,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6464,,,F? to ki to sora to,??????,1964,,,,?????,???????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6465,,,F? to ki to sora to,??????,1964,,,,?????,????,35.7181231,139.7778815,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6466,,,F? to ki to sora to,??????,1964,,,,?????,??????),35.7142484,139.7721532,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6467,,,F? to ki to sora to,??????,1964,,,,?????,????,35.6732638,139.7606676,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6468,,,F? to ki to sora to,??????,1964,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6469,,,F? to ki to sora to,??????,1964,,,,?????,??????,35.6718388,139.7551457,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6470,,,F? to ki to sora to,??????,1964,,,,?????,??????,35.5554531,139.7543989,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6471,,,F? to ki to sora to,??????,1964,,,,?????,???????,35.7072049,139.7734014,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6472,,,F? to ki to sora to,??????,1964,,,,?????,,35.021247,135.755597,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6473,,,F? to ki to sora to,??????,1964,,,,?????,????,43.0551744,141.3526408,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6474,,,F? to ki to sora to,??????,1964,,,,?????,??????????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6475,,,F? to ki to sora to,??????,1964,,,,?????,?????????,35.6597374,139.7634925,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6476,,,F? to ki to sora to,??????,1964,,,,?????,???,35.5298198,139.7024039,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6477,,,Kaze ni sakarau nagare-sha,????????,1961,,,,?????,???????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6478,,,Kaze ni sakarau nagare-sha,????????,1961,,,,?????,,35.180188,136.906565,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6479,,,Kaze ni sakarau nagare-sha,????????,1961,,,,?????,???????,34.765197,137.383453,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6480,,,Kaze ni sakarau nagare-sha,????????,1961,,,,?????,???,34.76292,137.381921,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6481,,,Kaze ni sakarau nagare-sha,????????,1961,,,,?????,?????,34.9126407,138.787018,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6482,,,Kaze ni sakarau nagare-sha,????????,1961,,,,?????,?????,37.3603047,139.2950573,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6483,,,Kaze ni sakarau nagare-sha,????????,1961,,,,?????,?????,35.727984,140.831681,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6484,,,Kaze ni sakarau nagare-sha,????????,1961,,,,?????,????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
6485,,,Kaze ni sakarau nagare-sha,????????,1961,,,,?????,??????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
